"","level","Sex","ClientCount","Population","ClientsPer100Pop"
"1","Fraserburgh Harbour and Broadsea","Male",93,1683,5.53
"2","Peterhead Harbour","Male",135,3037,4.45
"3","Fraserburgh Lochpots","Male",42,1100,3.82
"4","Peterhead Bay","Male",42,1181,3.56
"5","Fraserburgh Central-Academy","Male",40,1266,3.16
"6","Peterhead Harbour","Female",75,2846,2.64
"7","Banff","Male",48,1972,2.43
"8","Fraserburgh Harbour and Broadsea","Female",38,1642,2.31
"9","Peterhead Links","Male",51,2230,2.29
"10","Macduff","Male",40,1910,2.09
"11","Huntly","Male",37,1949,1.9
"12","Stonehaven South","Male",46,2468,1.86
"13","Inverurie South","Male",43,2496,1.72
"14","Fraserburgh Lochpots","Female",17,1095,1.55
"15","Banff","Female",31,2017,1.54
"16","Peterhead Ugieside","Male",29,1982,1.46
"17","Ellon West","Male",25,1922,1.3
"18","Longside and Rattray","Male",51,3960,1.29
"19","Turriff","Male",27,2089,1.29
"20","Aberchirder and Whitehills","Male",25,1957,1.28
"21","Kemnay","Male",21,1672,1.26
"22","Peterhead Bay","Female",15,1208,1.24
"23","Cruden","Male",27,2209,1.22
"24","Fraserburgh Central-Academy","Female",15,1260,1.19
"25","Rosehearty and Strathbeg","Male",38,3188,1.19
"26","Fraserburgh Smiddyhill","Male",23,1965,1.17
"27","Ellon East","Male",34,2953,1.15
"28","Inverurie South","Female",30,2697,1.11
"29","Portsoy, Fordyce and Cornhill","Male",17,1566,1.09
"30","Inverurie North","Male",27,2570,1.05
"31","Barrahill","Male",26,2512,1.04
"32","Fyvie-Rothie","Male",21,2032,1.03
"33","Peterhead Links","Female",22,2129,1.03
"34","Deer and Mormond","Male",26,2540,1.02
"35","Huntly","Female",22,2158,1.02
"36","New Pitsligo","Male",15,1480,1.01
"37","Insch, Oyne and Ythanwells","Male",25,2527,0.99
"38","Stonehaven North","Male",26,2734,0.95
"39","Ellon West","Female",19,2051,0.93
"40","Mintlaw","Male",11,1193,0.92
"41","Rosehearty and Strathbeg","Female",30,3295,0.91
"42","Portsoy, Fordyce and Cornhill","Female",15,1676,0.89
"43","Cromar and Kildrummy","Male",18,2045,0.88
"44","Mearns South and Benholm","Male",18,2050,0.88
"45","Banchory West","Male",12,1399,0.86
